,Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Grams,Variant Inventory Tracker,Variant Quantity,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Cost per item,Status
10,custom-bot-development-consultation,Custom Bot Development - Consultation,A personalized consultation service to discuss your specific bot development needs and outline a tailored solution.,YourCompany,Digital Service,Custom Bot,Consultation,TRUE,Service,1-Hour Consultation,,,,,,,,,shopify,100,continue,manual,75.00,,FALSE,TRUE,,,,,FALSE,Custom Bot Development Consultation,Discuss your unique bot development needs with our experts.,Software > Computer Software > Business & Accounting Software,20,Active
11,ai-chatbot-for-customer-service,AI Chatbot for Customer Service,"Deploy an intelligent AI chatbot to handle customer inquiries, provide instant support, and improve satisfaction.",YourCompany,Digital Service,AI Chatbot,Customer Service,TRUE,Service,Standard Implementation,,,,,,,,,shopify,100,continue,manual,650.00,,FALSE,TRUE,,,,,FALSE,AI Chatbot for Customer Service Automation,Automate customer support with a smart AI chatbot.,Software > Computer Software > Business & Accounting Software,200,Active
12,social-media-engagement-bot,Social Media Engagement Bot,An automated bot to help manage and boost engagement on various social media platforms.,YourCompany,Digital Service,Social Media,Engagement,TRUE,Service,Monthly License,,,,,,,,,shopify,100,continue,manual,199.99,,FALSE,TRUE,,,,,FALSE,Social Media Engagement Bot to Grow Your Presence,Enhance your social media engagement with an automated bot.,Software > Computer Software > Business & Accounting Software,60,Active
13,data-scraping-automation-bot,Data Scraping Automation Service,Develop a custom bot to efficiently extract and organize data from websites for business intelligence.,YourCompany,Digital Service,Data Scraping,Automation,TRUE,Service,Per Project Quote,,,,,,,,,shopify,100,continue,manual,399.99,,FALSE,TRUE,,,,,FALSE,Data Scraping Automation for Business Intelligence,Automate data extraction from websites for powerful insights.,Software > Computer Software > Business & Accounting Software,120,Active
14,web3-nft-minting-bot,Web3 NFT Minting Bot,"A specialized bot for automated NFT minting on various blockchain platforms, optimized for efficiency and gas fees.",YourCompany,Digital Service,Web3,"NFT,Minting Bot",TRUE,Service,Standard,,,,,,,,,shopify,100,continue,manual,899.99,,FALSE,TRUE,,,,,FALSE,Web3 NFT Minting Bot for Automated Collection,Automate your NFT minting process on various blockchain platforms.,Software > Computer Software > Business & Accounting Software,250,Active
15,blacklotusx-binary-options-suite,BlackLotusX - Binary Options Suite,"A comprehensive package of BlackLotusX bots optimized for all major binary options platforms (PocketOption, OlympTrade, Binomo, IQ Option).",YourCompany,Digital Service,Bot Development,"Binary Options,Trading Bot,BlackLotusX",TRUE,Package,Full Suite,,,,,,,,,shopify,100,continue,manual,849.99,,FALSE,TRUE,,,,,FALSE,BlackLotusX Binary Options Suite for All Platforms,Get the full BlackLotusX bot suite for comprehensive binary options trading.,Software > Computer Software > Business & Accounting Software,250,Active
16,trading-bot-strategy-optimization,Trading Bot Strategy Optimization,Expert service to analyze and fine-tune your existing trading bot strategies for improved performance and profitability.,YourCompany,Digital Service,Optimization,"Trading Bot,Consultation",TRUE,Service,Per Strategy,,,,,,,,,shopify,100,continue,manual,179.99,,FALSE,TRUE,,,,,FALSE,Trading Bot Strategy Optimization Service,Optimize your trading bot strategies for maximum performance.,Software > Computer Software > Business & Accounting Software,50,Active
17,bot-maintenance-and-support,Bot Maintenance & Support Plan,"Ongoing maintenance and technical support for your purchased bots, ensuring smooth operation and updates.",YourCompany,Digital Service,Maintenance,Support,TRUE,Plan,Monthly,Tier,Basic,,,,,,,shopify,100,continue,manual,49.99,,FALSE,TRUE,,,,,FALSE,Bot Maintenance and Support Plan - Basic,Ensure your bots run smoothly with our basic maintenance and support plan.,Software > Computer Software > Business & Accounting Software,15,Active
18,bot-maintenance-and-support-premium,Bot Maintenance & Support Plan - Premium,"Comprehensive ongoing maintenance and priority technical support for your purchased bots, including performance monitoring.",YourCompany,Digital Service,Maintenance,Support,TRUE,Plan,Monthly,Tier,Premium,,,,,,,shopify,100,continue,manual,99.99,,FALSE,TRUE,,,,,FALSE,Bot Maintenance and Support Plan - Premium,Get comprehensive support and monitoring for your bots with our premium plan.,Software > Computer Software > Business & Accounting Aservices,30,Active
19,custom-trading-indicator-development,Custom Trading Indicator Development,Develop bespoke technical indicators for your trading platform to enhance your analysis and bot performance.,YourCompany,Digital Service,Trading,Indicator Development,TRUE,Service,Per Indicator,,,,,,,,,shopify,100,continue,manual,299.99,,FALSE,TRUE,,,,,FALSE,Custom Trading Indicator Development for Your Platform,Enhance your trading analysis with custom-developed technical indicators.,Software > Computer Software > Business & Accounting Software,90,Active
20,ai-data-analysis-bot,AI Data Analysis Bot Development,Build a custom AI bot to analyze large datasets and generate actionable insights for your business.,YourCompany,Digital Service,AI,Data Analysis,TRUE,Service,Consultation + Development,,,,,,,,,shopify,100,continue,manual,750.00,,FALSE,TRUE,,,,,FALSE,AI Data Analysis Bot Development for Business Insights,Transform your data into actionable insights with a custom AI analysis bot.,Software > Computer Software > Business & Accounting Software,220,Active
21,automated-email-marketing-bot,Automated Email Marketing Bot,"A bot to automate your email marketing campaigns, including lead nurturing, segmentation, and personalized outreach.",YourCompany,Digital Service,Marketing,Email Automation,TRUE,Service,Standard Setup,,,,,,,,,shopify,100,continue,manual,249.99,,FALSE,TRUE,,,,,FALSE,Automated Email Marketing Bot for Lead Nurturing,Streamline your email campaigns with an automated marketing bot.,Software > Computer Software > Business & Accounting Software,70,Active
22,crm-integration-bot,CRM Integration Bot,Develop a custom bot to seamlessly integrate your various business tools with your CRM system.,YourCompany,Digital Service,CRM,Integration,TRUE,Service,Standard Integration,,,,,,,,,shopify,100,continue,manual,499.99,,FALSE,TRUE,,,,,FALSE,CRM Integration Bot for Streamlined Business Operations,Connect your tools to your CRM with a custom integration bot.,Software > Computer Software > Business & Accounting Software,150,Active
